GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
2.26535921552932E-05,9.97598559135481E-06,9.60576345807484E-05,1.1432679086213E-06,2.64644805744087E-05,9.63834608643761E-05,5.87,5.22,-28.9305754042869,0.113653409427062,7,0,0,3.50400424003601
2.52520940414209E-05,7.9241957722779E-06,9.6061088356053E-05,1.4456765718588E-05,1.5772322250019E-06,6.92175447640259E-07,6.06,5.2,-28.9305754042869,0.109611469841247,7,0,0,3.63200449943542
1.06441878559748E-05,2.47448084667871E-05,9.64224358945351E-05,7.03412415834351E-06,3.79230028766822E-05,9.20722825771845E-05,5.72,5.47,-28.9305754042869,0.0793631619690272,7,0,0,3.93600511550903
1.06441878559748E-05,2.47448084667871E-05,9.64224358945351E-05,7.03412415834351E-06,3.79230028766822E-05,9.20722825771845E-05,5.72,5.47,-28.9305754042869,0.0793631619690272,7,0,0,3.95200514793396
1.06441878559748E-05,2.47448084667871E-05,9.64224358945351E-05,7.03412415834351E-06,3.79230028766822E-05,9.20722825771845E-05,5.72,5.47,-28.9305754042869,0.0793631619690272,7,0,0,3.96800518035889
1.06441878559748E-05,2.47448084667871E-05,9.64224358945351E-05,7.03412415834351E-06,3.79230028766822E-05,9.20722825771845E-05,5.72,5.47,-28.9305754042869,0.0793631619690272,7,0,0,3.98400521278381
2.29806207501887E-05,1.2670434533229E-05,2.55982754365731E-06,1.3848353503086E-06,3.13171842035379E-06,1.55785094084932E-06,6.76,5.49,-28.9305754042869,0.0613551447712936,7,0,0,4.09600400924683
2.29806207501887E-05,1.2670434533229E-05,2.55982754365731E-06,1.3848353503086E-06,3.13171842035379E-06,1.55785094084932E-06,6.76,5.49,-28.9305754042869,0.0613551447712936,7,0,0,4.11200380325317
2.41855507134188E-05,2.01800731060695E-05,9.40321238419983E-05,3.00210147102972E-07,3.24327028920244E-05,9.46662663864705E-05,6.16,5.54,-28.9305754042869,-0.561285545317718,7,0,0,4.87999391555786
2.41855507134188E-05,2.01800731060695E-05,9.40321238419983E-05,3.00210147102972E-07,3.24327028920244E-05,9.46662663864705E-05,6.16,5.54,-28.9305754042869,-0.561285545317718,7,0,0,4.89599370956421
