GDLX, GDLY,GDLZ, GDRX, GDRY, GDRZ, PL, PR, HR, GSR, ConationLevel, PredictedConation
1.97711742190006E-06,2.8311374728704E-06,8.50550133387808E-07,1.51456483649758E-06,2.61605779641946E-06,1.99322491602892E-07,4.96,4.93,7.22,0.036331330758074,4,0
1.53628900696659E-06,2.79660138317082E-06,5.5032996099373E-07,1.18830443138518E-06,2.30614423528719E-06,2.4940010288054E-07,5.02,4.89,7.22,0.036331330758074,4,0
1.53628900696659E-06,2.79660138317082E-06,5.5032996099373E-07,1.18830443138518E-06,2.30614423528719E-06,2.4940010288054E-07,5.02,4.89,7.22,0.036331330758074,4,0
9.75271260434053E-07,1.96822966296334E-06,5.40537511630388E-07,6.65659031315066E-07,1.50680584433181E-06,2.00277823977966E-07,5.05,4.89,7.22,0.036331330758074,4,0
4.66960385255043E-08,6.61662891657449E-07,2.50415214131196E-07,3.8549433099249E-08,7.84095041268778E-07,2.00122576422434E-07,5.05,4.92,7.22,0.036331330758074,4,0
4.66960385255043E-08,6.61662891657449E-07,2.50415214131196E-07,3.8549433099249E-08,7.84095041268778E-07,2.00122576422434E-07,5.05,4.92,7.22,0.036331330758074,4,0
2.47965224408387E-07,1.98881336127517E-07,2.57608429993929E-10,2.52601891761475E-07,2.64784997542686E-07,7.51414544566161E-12,5.06,4.94,7.22,-0.00571806812026727,4,0
7.639794918107E-07,5.58832877334698E-07,5.00230373927462E-07,3.7423220528177E-07,9.60754940056601E-08,1.00112624511329E-07,5.05,4.97,7.22,-0.00571806812026727,4,0
7.639794918107E-07,5.58832877334698E-07,5.00230373927462E-07,3.7423220528177E-07,9.60754940056601E-08,1.00112624511329E-07,5.05,4.97,7.22,-0.00571806812026727,4,0
6.68866875406709E-07,5.87335221874892E-07,5.00147853242415E-07,3.02663604729866E-07,3.07205963539518E-07,1.0010511136904E-07,5.04,4.99,7.22,-0.00571806812026727,4,0
6.68866875406709E-07,5.87335221874892E-07,5.00147853242415E-07,3.02663604729866E-07,3.07205963539518E-07,1.0010511136904E-07,5.04,4.99,7.22,-0.00571806812026727,4,0
3.93705632321836E-07,4.59761480292472E-07,3.00027781199189E-07,2.65143369752185E-07,3.40731859568602E-07,1.0010511136904E-07,5.04,4.99,7.22,-0.00571806812026727,4,0
2.42543710222279E-07,3.91186274244769E-07,2.49975226016247E-07,1.65535980171942E-07,3.12696218112452E-07,1.0010511136904E-07,5.04,4.99,7.22,-0.00571806812026727,4,0
2.42543710222279E-07,3.91186274244769E-07,2.49975226016247E-07,1.65535980171942E-07,3.12696218112452E-07,1.0010511136904E-07,5.04,4.99,7.22,-0.00571806812026727,4,0
1.69633470445562E-07,3.27267492582843E-07,1.50070135851903E-07,1.65535980171942E-07,3.12696218112452E-07,1.0010511136904E-07,5.04,4.99,7.22,-0.00561488428584651,4,0
1.69633470445562E-07,3.27267492582843E-07,1.50070135851903E-07,1.17117113230671E-07,3.12226919201672E-07,1.5015516141909E-07,5.04,4.99,7.22,-0.00561488428584651,4,0
1.69633470445562E-07,3.27267492582843E-07,1.50070135851903E-07,1.17117113230671E-07,3.12226919201672E-07,1.5015516141909E-07,5.04,4.99,7.22,-0.00561488428584651,4,0
1.69633470445562E-07,3.27267492582843E-07,1.50070135851903E-07,1.17117113230671E-07,3.12226919201672E-07,1.5015516141909E-07,5.04,4.99,7.22,-0.00561488428584651,4,0
1.69633470445562E-07,3.27267492582843E-07,1.50070135851903E-07,1.17117113230671E-07,3.12226919201672E-07,1.5015516141909E-07,5.04,4.99,7.22,-0.00561488428584651,4,0
9.75430797771111E-08,1.21548849428179E-07,1.00015074532912E-07,8.50540772840065E-08,1.61063777622173E-07,5.00500500500501E-08,5.03,5.09,7.22,0.0018301368703146,4,0
9.75430797771111E-08,1.21548849428179E-07,1.00015074532912E-07,8.50540772840065E-08,1.61063777622173E-07,5.00500500500501E-08,5.03,5.09,7.22,0.0018301368703146,4,0
9.75430797771111E-08,1.21548849428179E-07,1.00015074532912E-07,2.39894705243531E-08,1.51605906865E-07,5.00500500500501E-08,5.03,5.13,7.22,0.0018301368703146,4,0
