GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
3.79754217067231E-07,2.77725844260531E-07,1.48294585967977E-08,8.96835890952018E-07,1.5745597430542E-07,1.24558433743656E-07,4.43,4.28,0.96302710843306,-0.419170886958003,5,0,0,0.2240000218153
3.79754217067231E-07,2.77725844260531E-07,1.48294585967977E-08,8.96835890952018E-07,1.5745597430542E-07,1.24558433743656E-07,4.43,4.28,0.96302710843306,-0.419170886958003,5,0,0,0.240000024437904
3.79754217067231E-07,2.77725844260531E-07,1.48294585967977E-08,8.96835890952018E-07,1.5745597430542E-07,1.24558433743656E-07,4.43,4.28,0.96302710843306,-0.419170886958003,5,0,0,0.256000012159348
2.66181708265527E-06,1.59318175297805E-05,9.86739804603202E-05,1.39159387561282E-05,1.11351378499923E-05,9.84444398650655E-05,4.43,4.29,0.96302710843306,-0.419170886958003,5,0,0,0.272000014781952
2.78190715020593E-06,1.59118025185221E-05,9.86739804603202E-05,1.41561689788453E-05,1.13052980026394E-05,9.83443397649654E-05,4.43,4.31,0.96302710843306,-0.419170886958003,5,0,0,0.288000017404556
2.78190715020593E-06,1.59118025185221E-05,9.86739804603202E-05,1.41561689788453E-05,1.13052980026394E-05,9.83443397649654E-05,4.43,4.31,0.96302710843306,-0.419170886958003,5,0,0,0.304000020027161
3.03191871953758E-06,1.59518245306287E-05,9.86739804603202E-05,1.44860040613041E-05,1.14352330351231E-05,9.82443897399779E-05,4.44,4.33,0.96302710843306,-0.419170886958003,5,0,0,0.320000022649765
3.03191871953758E-06,1.59518245306287E-05,9.86739804603202E-05,1.44860040613041E-05,1.14352330351231E-05,9.82443897399779E-05,4.44,4.33,0.96302710843306,-0.419170886958003,5,0,0,0.336000025272369
3.03191871953758E-06,1.59518245306287E-05,9.86739804603202E-05,1.44860040613041E-05,1.14352330351231E-05,9.82443897399779E-05,4.44,4.33,0.96302710843306,-0.419170886958003,5,0,0,0.352000027894974
3.03191871953758E-06,1.59518245306287E-05,9.86739804603202E-05,1.44860040613041E-05,1.14352330351231E-05,9.82443897399779E-05,4.44,4.33,0.96302710843306,-0.21695690972136,5,0,0,0.368000030517578
3.03191871953758E-06,1.59518245306287E-05,9.86739804603202E-05,1.44860040613041E-05,1.14352330351231E-05,9.82443897399779E-05,4.44,4.33,0.96302710843306,-0.21695690972136,5,0,0,0.384000033140183
