GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
1.00072158152926E-05,3.49150200901001E-06,2.217656327832E-06,8.56909840834516E-06,4.89475561456927E-05,8.66134415824145E-05,5.42,5.66,-3.57688673531067,0.0444365668802389,6,0,0,7.61595869064331
1.25984646261937E-05,3.89162693478302E-06,3.01817666605184E-06,1.02207436061653E-05,5.25000081466036E-05,8.43118156099776E-05,5.36,5.52,-3.57688673531067,0.0444365668802389,6,0,0,7.63195848464966
6.15568299388495E-06,4.50567036912867E-08,6.20615053951741E-07,1.02207436061653E-05,5.25000081466036E-05,8.43118156099776E-05,5.4,5.52,-3.57688673531067,0.0441070395529501,6,0,0,7.64795827865601
6.15568299388495E-06,4.50567036912867E-08,6.20615053951741E-07,1.02207436061653E-05,5.25000081466036E-05,8.43118156099776E-05,5.4,5.52,-3.57688673531067,0.0441070395529501,6,0,0,7.66395807266235
6.15568299388495E-06,4.50567036912867E-08,6.20615053951741E-07,1.02207436061653E-05,5.25000081466036E-05,8.43118156099776E-05,5.4,5.52,-3.57688673531067,0.0441070395529501,6,0,0,7.6799578666687
2.72340023224121E-06,6.39168252494935E-06,3.42356811208342E-06,7.4664085932432E-06,8.61464604654507E-06,6.00341132392815E-06,5.39,5.47,-3.57688673531067,0.0441070395529501,6,0,0,7.69595766067505
1.200261985693E-05,5.20489153531524E-05,8.45690441868165E-05,3.71425224324005E-06,5.13298069474634E-06,2.6011598906074E-06,5.39,5.53,-3.57688673531067,0.0441070395529501,6,0,0,7.7119574546814
1.200261985693E-05,5.20489153531524E-05,8.45690441868165E-05,3.71425224324005E-06,5.13298069474634E-06,2.6011598906074E-06,5.39,5.53,-3.57688673531067,0.0441070395529501,6,0,0,7.72795724868774
2.54906954263773E-06,3.80021629380486E-06,1.79997094520902E-06,1.92383150626014E-06,1.56825985114139E-05,1.10937394049206E-05,5.42,5.8,-3.57688673531067,0.0441070395529501,6,0,0,7.74395704269409
1.48625607790384E-05,3.0806403089892E-05,1.21716549136409E-05,7.64396833710612E-06,2.72603712408508E-05,1.08244713717773E-05,4.31,5.08,-3.57688673531067,0.0435942534738247,6,0,0,7.75995683670044
