Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
0,0,0,0,0,0,3.57,3.04,7.14,0.56667309,0
0,0,0,0,0,0,3.57,3.05,7.14,0.56667309,0
0,0,0,0,0,0,3.57,3.05,7.14,0.56667309,0
0,0,0,0,0,0,3.57,3.05,7.14,0.56667309,0
0,0,0,0,0,0,3.57,3.04,7.14,0.49436306,0
13.89480743,28.14255371,73.83722534,0,0,0,3.57,3.04,7.14,0.49436306,0
15.47223587,30.35477905,74.54041138,0,0,0,3.58,3.04,7.14,0.49436306,0
16.13375702,30.64880981,74.58695068,0,0,0,3.58,3.04,7.14,0.49436306,0
16.36010132,30.75481873,74.66002808,0,0,0,3.58,3.04,7.14,0.49436306,0
16.38279495,31.14113159,74.82562256,0,0,0,3.58,3.04,7.14,0.49436306,0
16.50667419,31.24118652,74.8835022,0,0,0,3.58,3.03,7.14,0.245385556,0
17.34436035,32.1021637,75.14347534,0,0,0,3.58,3.03,7.14,0.245385556,0
18.31712189,33.02946167,75.39110718,0,0,0,3.58,3.03,7.14,0.245385556,0
19.55168076,34.23553467,75.72167969,0,0,0,3.58,3.03,7.14,0.245385556,0
16.55054541,14.75164642,4.163122559,1.010544682,20.81556549,75.8397522,3.59,3.03,7.14,0.245385556,0
15.98366165,33.35498657,79.29968872,15.89801502,26.43616943,76.65133057,3.59,3.03,7.14,0.245385556,0
15.3221405,33.06095581,79.25314941,29.77494068,41.63113098,153.3026611,3.11,3.05,7.14,0.490720788,0
15.0957962,32.9549469,79.18007202,60.01625843,55.88089905,226.2032593,3.24,3.16,7.14,0.291917146,0
15.07310257,32.56863403,79.01447754,64.1008379,56.86690521,227.990332,3.25,3.19,7.14,0.291917146,0
14.94922333,32.4685791,78.9565979,65.35851002,57.35519257,228.6379517,3.26,3.2,7.14,0.291917146,0
14.11153717,31.60760193,78.69662476,65.53940296,57.63121185,228.7782349,3.27,3.21,7.14,0.291917146,0
42.12626648,47.63771667,149.9129456,72.3163744,58.5885437,229.9165649,3.27,3.21,7.14,0.291917146,0
80.08314133,63.6716095,222.4333862,111.5078081,75.82850952,302.7675781,3.27,3.21,7.14,0.291917146,0
107.3833413,76.81396027,306.4314087,148.6911355,76.81396027,313.2045166,3.28,3.2,7.14,0.454587703,0
111.7276627,59.08047714,242.6536499,139.1585312,74.27543869,324.4549316,3.28,3.2,7.14,0.454587703,0
